,endTime,artistName,trackName,msPlayed,artist_and_song,energy,loudness,danceability,genres
221,2021-03-15 16:33,Robbie Basho,Clair de lune (For Twelve-String) [Live],282981,Robbie Basho - Clair de lune (For Twelve-String) [Live],0.445,-14.223,0.362,psychedelic folk
222,2021-03-15 16:37,Haley Blais,Best Thing,272756,Haley Blais - Best Thing,0.397,-9.622,0.78,indie pop
222,2021-03-15 16:37,Haley Blais,Best Thing,272756,Haley Blais - Best Thing,0.397,-9.622,0.78,vancouver indie
223,2021-03-15 16:40,Racoma,Get On,197375,Racoma - Get On,0.245,-7.491,0.531,seattle indie
224,2021-03-15 16:44,Esther Rose,Only Loving You,186517,Esther Rose - Only Loving You,0.721,-6.802,0.459,alternative country
224,2021-03-15 16:44,Esther Rose,Only Loving You,186517,Esther Rose - Only Loving You,0.721,-6.802,0.459,indie folk
224,2021-03-15 16:44,Esther Rose,Only Loving You,186517,Esther Rose - Only Loving You,0.721,-6.802,0.459,new orleans americana
225,2021-03-15 16:46,Joey Dosik,Gentle Giant (Bonus Track),122282,Joey Dosik - Gentle Giant (Bonus Track),0.288,-12.12,0.443,retro soul
227,2021-03-15 16:57,Jessica Lea Mayfield,Seein* Starz,224586,Jessica Lea Mayfield - Seein* Starz,0.634,-10.346,0.619,indie folk
228,2021-03-15 17:02,Dora Jar,Multiply,136311,Dora Jar - Multiply,0.223,-12.786,0.695,indie pop
228,2021-03-15 17:02,Dora Jar,Multiply,136311,Dora Jar - Multiply,0.223,-12.786,0.695,indie r&b
230,2021-03-15 17:09,Louis Cole,Below The Valleys,181000,Louis Cole - Below The Valleys,0.731,-8.522,0.759,la pop
231,2021-03-15 17:12,Sudan Archives,Iceland Moss,210515,Sudan Archives - Iceland Moss,0.49,-7.186,0.666,afrofuturism
231,2021-03-15 17:12,Sudan Archives,Iceland Moss,210515,Sudan Archives - Iceland Moss,0.49,-7.186,0.666,alternative r&b
231,2021-03-15 17:12,Sudan Archives,Iceland Moss,210515,Sudan Archives - Iceland Moss,0.49,-7.186,0.666,escape room
231,2021-03-15 17:12,Sudan Archives,Iceland Moss,210515,Sudan Archives - Iceland Moss,0.49,-7.186,0.666,experimental r&b
231,2021-03-15 17:12,Sudan Archives,Iceland Moss,210515,Sudan Archives - Iceland Moss,0.49,-7.186,0.666,indie soul
231,2021-03-15 17:12,Sudan Archives,Iceland Moss,210515,Sudan Archives - Iceland Moss,0.49,-7.186,0.666,la pop
232,2021-03-15 17:15,Shannon Shaw,Goodbye Summer,163280,Shannon Shaw - Goodbye Summer,0.705,-4.776,0.518,alternative americana
233,2021-03-15 17:18,Kathy Heideman,The Earth Won't Hold Me,186772,Kathy Heideman - The Earth Won't Hold Me,0.491,-10.282,0.511,cosmic american
237,2021-03-15 17:39,Stereolab,"Blips, Drips And Strips",267600,"Stereolab - Blips, Drips And Strips",0.677,-8.465,0.683,alternative rock
237,2021-03-15 17:39,Stereolab,"Blips, Drips And Strips",267600,"Stereolab - Blips, Drips And Strips",0.677,-8.465,0.683,art pop
237,2021-03-15 17:39,Stereolab,"Blips, Drips And Strips",267600,"Stereolab - Blips, Drips And Strips",0.677,-8.465,0.683,art rock
237,2021-03-15 17:39,Stereolab,"Blips, Drips And Strips",267600,"Stereolab - Blips, Drips And Strips",0.677,-8.465,0.683,chamber psych
237,2021-03-15 17:39,Stereolab,"Blips, Drips And Strips",267600,"Stereolab - Blips, Drips And Strips",0.677,-8.465,0.683,electronica
237,2021-03-15 17:39,Stereolab,"Blips, Drips And Strips",267600,"Stereolab - Blips, Drips And Strips",0.677,-8.465,0.683,experimental
237,2021-03-15 17:39,Stereolab,"Blips, Drips And Strips",267600,"Stereolab - Blips, Drips And Strips",0.677,-8.465,0.683,experimental pop
237,2021-03-15 17:39,Stereolab,"Blips, Drips And Strips",267600,"Stereolab - Blips, Drips And Strips",0.677,-8.465,0.683,indietronica
237,2021-03-15 17:39,Stereolab,"Blips, Drips And Strips",267600,"Stereolab - Blips, Drips And Strips",0.677,-8.465,0.683,noise pop
238,2021-03-15 17:44,Cosmo Pyke,Social Sites,289308,Cosmo Pyke - Social Sites,0.618,-4.964,0.411,uk contemporary r&b
239,2021-03-15 17:47,Jonwayne,Altitude,195286,Jonwayne - Altitude,0.522,-8.465,0.559,alternative hip hop
239,2021-03-15 17:47,Jonwayne,Altitude,195286,Jonwayne - Altitude,0.522,-8.465,0.559,escape room
239,2021-03-15 17:47,Jonwayne,Altitude,195286,Jonwayne - Altitude,0.522,-8.465,0.559,wonky
240,2021-03-15 17:57,Lester Young,Our Love Is Here To Stay,372832,Lester Young - Our Love Is Here To Stay,0.213,-15.257,0.644,bebop
240,2021-03-15 17:57,Lester Young,Our Love Is Here To Stay,372832,Lester Young - Our Love Is Here To Stay,0.213,-15.257,0.644,big band
240,2021-03-15 17:57,Lester Young,Our Love Is Here To Stay,372832,Lester Young - Our Love Is Here To Stay,0.213,-15.257,0.644,hard bop
240,2021-03-15 17:57,Lester Young,Our Love Is Here To Stay,372832,Lester Young - Our Love Is Here To Stay,0.213,-15.257,0.644,jazz
240,2021-03-15 17:57,Lester Young,Our Love Is Here To Stay,372832,Lester Young - Our Love Is Here To Stay,0.213,-15.257,0.644,jazz saxophone
240,2021-03-15 17:57,Lester Young,Our Love Is Here To Stay,372832,Lester Young - Our Love Is Here To Stay,0.213,-15.257,0.644,stride
240,2021-03-15 17:57,Lester Young,Our Love Is Here To Stay,372832,Lester Young - Our Love Is Here To Stay,0.213,-15.257,0.644,swing
240,2021-03-15 17:57,Lester Young,Our Love Is Here To Stay,372832,Lester Young - Our Love Is Here To Stay,0.213,-15.257,0.644,vocal jazz
241,2021-03-15 18:01,Vulfpeck,Off and Away,243115,Vulfpeck - Off and Away,0.258,-10.717,0.468,ann arbor indie
241,2021-03-15 18:01,Vulfpeck,Off and Away,243115,Vulfpeck - Off and Away,0.258,-10.717,0.468,funk rock
241,2021-03-15 18:01,Vulfpeck,Off and Away,243115,Vulfpeck - Off and Away,0.258,-10.717,0.468,instrumental funk
242,2021-03-15 18:59,Chon,Book,1972,Chon - Book,0.809,-6.701,0.607,djent
242,2021-03-15 18:59,Chon,Book,1972,Chon - Book,0.809,-6.701,0.607,instrumental math rock
242,2021-03-15 18:59,Chon,Book,1972,Chon - Book,0.809,-6.701,0.607,instrumental rock
242,2021-03-15 18:59,Chon,Book,1972,Chon - Book,0.809,-6.701,0.607,progressive jazz fusion
242,2021-03-15 18:59,Chon,Book,1972,Chon - Book,0.809,-6.701,0.607,san diego indie
243,2021-03-15 18:59,Broken Social Scene,Anthems For A Seventeen Year-Old Girl,275693,Broken Social Scene - Anthems For A Seventeen Year-Old Girl,0.446,-9.415,0.466,alternative dance
243,2021-03-15 18:59,Broken Social Scene,Anthems For A Seventeen Year-Old Girl,275693,Broken Social Scene - Anthems For A Seventeen Year-Old Girl,0.446,-9.415,0.466,alternative rock
243,2021-03-15 18:59,Broken Social Scene,Anthems For A Seventeen Year-Old Girl,275693,Broken Social Scene - Anthems For A Seventeen Year-Old Girl,0.446,-9.415,0.466,baroque pop
243,2021-03-15 18:59,Broken Social Scene,Anthems For A Seventeen Year-Old Girl,275693,Broken Social Scene - Anthems For A Seventeen Year-Old Girl,0.446,-9.415,0.466,canadian indie
243,2021-03-15 18:59,Broken Social Scene,Anthems For A Seventeen Year-Old Girl,275693,Broken Social Scene - Anthems For A Seventeen Year-Old Girl,0.446,-9.415,0.466,canadian rock
243,2021-03-15 18:59,Broken Social Scene,Anthems For A Seventeen Year-Old Girl,275693,Broken Social Scene - Anthems For A Seventeen Year-Old Girl,0.446,-9.415,0.466,chillwave
243,2021-03-15 18:59,Broken Social Scene,Anthems For A Seventeen Year-Old Girl,275693,Broken Social Scene - Anthems For A Seventeen Year-Old Girl,0.446,-9.415,0.466,indie folk
243,2021-03-15 18:59,Broken Social Scene,Anthems For A Seventeen Year-Old Girl,275693,Broken Social Scene - Anthems For A Seventeen Year-Old Girl,0.446,-9.415,0.466,indie pop
243,2021-03-15 18:59,Broken Social Scene,Anthems For A Seventeen Year-Old Girl,275693,Broken Social Scene - Anthems For A Seventeen Year-Old Girl,0.446,-9.415,0.466,indie rock
243,2021-03-15 18:59,Broken Social Scene,Anthems For A Seventeen Year-Old Girl,275693,Broken Social Scene - Anthems For A Seventeen Year-Old Girl,0.446,-9.415,0.466,modern rock
243,2021-03-15 18:59,Broken Social Scene,Anthems For A Seventeen Year-Old Girl,275693,Broken Social Scene - Anthems For A Seventeen Year-Old Girl,0.446,-9.415,0.466,stomp and holler
244,2021-03-15 19:03,Bahamas,Trick To Happy,204453,Bahamas - Trick To Happy,0.289,-9.658,0.755,canadian indie
244,2021-03-15 19:03,Bahamas,Trick To Happy,204453,Bahamas - Trick To Happy,0.289,-9.658,0.755,indie folk
244,2021-03-15 19:03,Bahamas,Trick To Happy,204453,Bahamas - Trick To Happy,0.289,-9.658,0.755,stomp and holler
245,2021-03-15 19:03,Sithu Aye,A Rival Appears!,1375,Sithu Aye - A Rival Appears!,0.839,-4.8,0.38,djent
245,2021-03-15 19:03,Sithu Aye,A Rival Appears!,1375,Sithu Aye - A Rival Appears!,0.839,-4.8,0.38,instrumental djent
245,2021-03-15 19:03,Sithu Aye,A Rival Appears!,1375,Sithu Aye - A Rival Appears!,0.839,-4.8,0.38,progressive jazz fusion
245,2021-03-15 19:03,Sithu Aye,A Rival Appears!,1375,Sithu Aye - A Rival Appears!,0.839,-4.8,0.38,scottish metal
246,2021-03-15 19:03,Sithu Aye,Summer Break!,35857,Sithu Aye - Summer Break!,0.846,-5.283,0.465,djent
246,2021-03-15 19:03,Sithu Aye,Summer Break!,35857,Sithu Aye - Summer Break!,0.846,-5.283,0.465,instrumental djent
246,2021-03-15 19:03,Sithu Aye,Summer Break!,35857,Sithu Aye - Summer Break!,0.846,-5.283,0.465,progressive jazz fusion
246,2021-03-15 19:03,Sithu Aye,Summer Break!,35857,Sithu Aye - Summer Break!,0.846,-5.283,0.465,scottish metal
248,2021-03-15 19:10,Kruger Brothers,Drought,208000,Kruger Brothers - Drought,0.381,-14.411,0.426,banjo
248,2021-03-15 19:10,Kruger Brothers,Drought,208000,Kruger Brothers - Drought,0.381,-14.411,0.426,bluegrass
248,2021-03-15 19:10,Kruger Brothers,Drought,208000,Kruger Brothers - Drought,0.381,-14.411,0.426,progressive bluegrass
248,2021-03-15 19:10,Kruger Brothers,Drought,208000,Kruger Brothers - Drought,0.381,-14.411,0.426,swiss country
250,2021-03-15 19:28,Florist,Shadow Bloom,140348,Florist - Shadow Bloom,0.14,-15.756,0.453,anti-folk
250,2021-03-15 19:28,Florist,Shadow Bloom,140348,Florist - Shadow Bloom,0.14,-15.756,0.453,indie pop
250,2021-03-15 19:28,Florist,Shadow Bloom,140348,Florist - Shadow Bloom,0.14,-15.756,0.453,lo-fi indie
250,2021-03-15 19:28,Florist,Shadow Bloom,140348,Florist - Shadow Bloom,0.14,-15.756,0.453,small room
